Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
limitd_wlkblcks_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited walking several blocks
limitd_wlk1blck_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited walking one block
limitd_bathing_q5,character,Char,50,$50.00 ,$50.00 ,Are currently limited bathing or dressing yourself
bbaspr_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of baby aspirin num tablets per week
aspr_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of aspirin num tablets per week
ibupf_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of ibuprofen num tablets per week
nsaid_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of other non-steroidal num tablets per week
cox2_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of cox-2 inhibitor num tablets per week
actem_perwk_q5,character,Char,50,$50.00 ,$50.00 ,Current use of acetaminophen num tablets per week
opiat_perwk,character,Char,50,$50.00 ,$50.00 ,Current use of pain med w opiate num tablets per week
statin_q5,character,Char,50,$50.00 ,$50.00 ,Current use of statin medication
osteopmed_ever,character,Char,50,$50.00 ,$50.00 ,Have your ever taken meds to treat or prevent osteoporosis
bisphos_q5,character,Char,50,$50.00 ,$50.00 ,Current years of use of bisphosphonates
ralox_q5,character,Char,50,$50.00 ,$50.00 ,Current year of use of raloxifene
oralcntr_aft00,character,Char,50,$50.00 ,$50.00 ,Use of oral contraceptive use since january 2000
oralcntr_agelast_q5,character,Char,50,$50.00 ,$50.00 ,Age stopped taking  oral contraceptives
oralcntr_aft00_yrs,character,Char,50,$50.00 ,$50.00 ,Year of oral contraceptive use since january 2000
agelastperiod_dk_q5,character,Char,50,$50.00 ,$50.00 ,Answered do not know date or age of last menstrual period
agelastperiod_writdate_q5,character,Char,50,$50.00 ,$50.00 ,"M/y last menstrual period, as written in the boxes"
agelastperiod_mo_q5,character,Char,50,$50.00 ,$50.00 ,"Month last menstrual period, as bubbled"
agelastperiod_yr_q5,character,Char,50,$50.00 ,$50.00 ,"Year last menstrual period, as bubbled"
agelastperiod_writ_q5,character,Char,50,$50.00 ,$50.00 ,"Age last menstrual period, as written in the boxes"
agelastperiod_bub_q5,character,Char,50,$50.00 ,$50.00 ,"Age last menstrual period, as bubbled"
menstrual_statusus_q5,character,Char,50,$50.00 ,$50.00 ,Current menstrual status
hormo_aft05,character,Char,50,$50.00 ,$50.00 ,Use of hormones since 2005
hormo_aft05_yrs,character,Char,50,$50.00 ,$50.00 ,Years of hormone use since 2005
cestro_aft05,character,Char,50,$50.00 ,$50.00 ,Used conjugated estrogens since 2005
cestrodose_aft05,character,Char,50,$50.00 ,$50.00 ,Dose of conjugated estrogens since 2005
estrad_aft05,character,Char,50,$50.00 ,$50.00 ,Used estradiol since 2005
estraddose_aft05,character,Char,50,$50.00 ,$50.00 ,Dose of estradiol since 2005
prog_aft05,character,Char,50,$50.00 ,$50.00 ,Dose of progesterone/progestin since 2005
hormopil_aft05,character,Char,50,$50.00 ,$50.00 ,Use pills (hormones) since 2005
estropil_aft05,character,Char,50,$50.00 ,$50.00 ,Estrogen type pills since 2005
progpil_aft05,character,Char,50,$50.00 ,$50.00 ,Progesterone type pills since 2005
combpil_aft05,character,Char,50,$50.00 ,$50.00 ,Combined type pills (hormones) since 2005
hormopil_q5,character,Char,50,$50.00 ,$50.00 ,Current use of pills (hormones)
hormopil_yrstop,character,Char,50,$50.00 ,$50.00 ,Year stopped using pills (hormones)
hormoptch_aft05,character,Char,50,$50.00 ,$50.00 ,Use patches (hormones) since 2005
estropatch_aft05,character,Char,50,$50.00 ,$50.00 ,Estrogen type patches since 2005
combpatch_aft05,character,Char,50,$50.00 ,$50.00 ,Combined type patches (hormones) since 2005
hormoptch_q5,character,Char,50,$50.00 ,$50.00 ,Current use of patches (hormones)
hormoptch_yrstop,character,Char,50,$50.00 ,$50.00 ,Year stopped using patches (hormones)
vagcrm_aft05,character,Char,50,$50.00 ,$50.00 ,Use vaginal creams/gels (hormones) since 2005
vagcrm_q5,character,Char,50,$50.00 ,$50.00 ,Current use of vaginal creams/gels (hormones)
vagcrm_yrstop,character,Char,50,$50.00 ,$50.00 ,Year stopped using vaginal creams/gels (hormones)
combpil_type_q5,character,Char,50,$50.00 ,$50.00 ,Combined type pills (hormones) currently using
combpatch_type_q5,character,Char,50,$50.00 ,$50.00 ,Combined type patches (hormones) currently using
estro_type_q5,character,Char,50,$50.00 ,$50.00 ,Estrogen currently using
prog_type_q5,character,Char,50,$50.00 ,$50.00 ,Progesterone currently using
hormo_bioiden,character,Char,50,$50.00 ,$50.00 ,Ever used bio-identical hormones
diab_self_q5,character,Char,50,$50.00 ,$50.00 ,Ever told you have diabetes
diab_type_q5,character,Char,50,$50.00 ,$50.00 ,Type of diabetes
diab_age_q5,character,Char,50,$50.00 ,$50.00 ,Age diagnosed with diabetes
diab_diag_untreat,character,Char,50,$50.00 ,$50.00 ,Diabetes not treated when diagnosed
diab_diag_diet,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with diet when diagnosed
diab_diag_injec,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with injection when diagnosed
diab_diag_metfrm,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with metformin/glucophage when diagnosed
diab_diag_othmed,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with another medication when diagnosed
diab_diag_oth,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with other when diagnosed
diab_untreat_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes not treated currently
diab_diet_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with diet currently
diab_injec_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with injection currently
diab_metfrm_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with metformin/glucophage currently
diab_othmed_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with another medication currently
diab_oth_q5,character,Char,50,$50.00 ,$50.00 ,Diabetes treated with other currently
diab_bldkit,character,Char,50,$50.00 ,$50.00 ,Use diabetes blood glucose kit
diab_bldkit_freq,character,Char,50,$50.00 ,$50.00 ,Frequency use diabetes blood glucose kit
diab_a1c_last6mo,character,Char,50,$50.00 ,$50.00 ,Diabetes hemoglobin a1c measured last 6 months
diab_a1c_score,character,Char,50,$50.00 ,$50.00 ,Diabetes hemoglobin a1c score
feel_nocompanion,character,Char,50,$50.00 ,$50.00 ,Feel lack of companionship
feel_leftout_q5,character,Char,50,$50.00 ,$50.00 ,Feel left out
feel_isolated,character,Char,50,$50.00 ,$50.00 ,Feel isolated from others
mri_b4_1900,character,Char,50,$50.00 ,$50.00 ,Mri before 1990
mri_1900_99,character,Char,50,$50.00 ,$50.00 ,Mri 1990-1999
mri_aft2000,character,Char,50,$50.00 ,$50.00 ,Mri 2000 or later
cthead_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of head
cthead_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of head before 1990
cthead_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of head 1990-1999
cthead_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of head 2000 or later
ctneck_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of neck
ctneck_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of neck before 1990
ctneck_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of neck 1990-1999
ctneck_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of neck 2000 or later
ctchest_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of chest
ctchest_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of chest before 1990
ctchest_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of chest 1990-1999
ctchest_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of chest 2000 or later
ctspine_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of spine
ctspine_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of spine before 1990
ctspine_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of spine 1990-1999
ctspine_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of spine 2000 or later
ctabdom_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of abdomen/pelvis
ctabdom_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of abdomen/pelvis before 1990
ctabdom_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of abdomen/pelvis 1990-1999
ctabdom_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of abdomen/pelvis 2000 or later
ctheart_nevr,character,Char,50,$50.00 ,$50.00 ,Never had any cat/pet scan of heart angiography
ctheart_b4_1900,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of heart angiography before 1990
ctheart_1900_99,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of heart angiography 1990-1999
ctheart_aft2000,character,Char,50,$50.00 ,$50.00 ,Cat/pet scan of heart angiography 2000 or later
mammo_ever_q5,character,Char,50,$50.00 ,$50.00 ,Ever had mammogram
mammo_whenlast,character,Char,50,$50.00 ,$50.00 ,When was last mammogram
mammo_howoft,character,Char,50,$50.00 ,$50.00 ,How often had mammogram over last 10 years
breastsurg_ever,character,Char,50,$50.00 ,$50.00 ,Ever had breast procedure
atypia_ever,character,Char,50,$50.00 ,$50.00 ,Ever had atypical hyperplasia/atypia diagnosis
atypia_diag_age,character,Char,50,$50.00 ,$50.00 ,Age first diagnosed with atypical hyperplasia/atypia
ct_colnscop_no,character,Char,50,$50.00 ,$50.00 ,No (virtual) ct colonoscopy
ct_colnscop_scrn,character,Char,50,$50.00 ,$50.00 ,Yes (virtual) ct colonoscopy screening
ct_colnscop_symp,character,Char,50,$50.00 ,$50.00 ,Yes (virtual) ct colonoscopy symptoms
ct_colnscop_age,character,Char,50,$50.00 ,$50.00 ,Age at (virtual) ct colonoscopy
colnscop_scrn,character,Char,50,$50.00 ,$50.00 ,Yes colonoscopy screening
colnscop_symp,character,Char,50,$50.00 ,$50.00 ,Yes colonoscopy symptoms
colnscop_age,character,Char,50,$50.00 ,$50.00 ,Age at colonoscopy
sigmscop_scrn,character,Char,50,$50.00 ,$50.00 ,Yes sigmoidoscopy screening
sigmscop_symp,character,Char,50,$50.00 ,$50.00 ,Yes sigmoidoscopy symptoms
sigmscop_age,character,Char,50,$50.00 ,$50.00 ,Age at sigmoidoscopy
result_colnpoly,character,Char,50,$50.00 ,$50.00 ,Benign colon polyp procedure outcome
result_rectpoly,character,Char,50,$50.00 ,$50.00 ,Benign rectal polyp procedure outcome
result_colnca,character,Char,50,$50.00 ,$50.00 ,Colon/rectal cancer procedure outcome
result_none,character,Char,50,$50.00 ,$50.00 ,None of these procedure outcome
result_dk,character,Char,50,$50.00 ,$50.00 ,Dont know procedure outcome
mulvit_howoft_q5,character,Char,50,$50.00 ,$50.00 ,How often multivitamins
mulvit_yrs_q5,character,Char,50,$50.00 ,$50.00 ,How many years multivitamins
b12_howoft,character,Char,50,$50.00 ,$50.00 ,How often vitamin b12
b12_yrs,character,Char,50,$50.00 ,$50.00 ,How many years vitamin b12
calcium_vitd_howoft,character,Char,50,$50.00 ,$50.00 ,How often calcium/vitamin d
calcium_vitd_yrs,character,Char,50,$50.00 ,$50.00 ,How many years calcium/vitamin d
vitd3_howoft,character,Char,50,$50.00 ,$50.00 ,How often vitamin d3
vitd4_yrs,character,Char,50,$50.00 ,$50.00 ,How many years vitamin d3
calcium_howoft_q5,character,Char,50,$50.00 ,$50.00 ,How often calcium
calcium_yrs_q5,character,Char,50,$50.00 ,$50.00 ,How many years calcium
niacin_howoft,character,Char,50,$50.00 ,$50.00 ,How often niacin
niacin_yrs,character,Char,50,$50.00 ,$50.00 ,How many years niacin
omega3_howoft,character,Char,50,$50.00 ,$50.00 ,How often omega-3 fatty acids
omega3_yrs,character,Char,50,$50.00 ,$50.00 ,How many years omega-3 fatty acids
soypill_howoft,character,Char,50,$50.00 ,$50.00 ,How often soy pills
soypill_yrs,character,Char,50,$50.00 ,$50.00 ,How many years soy pills
chondro_howoft,character,Char,50,$50.00 ,$50.00 ,How often chondroitin/glucosamine
chondro_yrs,character,Char,50,$50.00 ,$50.00 ,How many years chondroitin/glucosamine
vitd3_howmch,character,Char,50,$50.00 ,$50.00 ,How much vitamin d3
hbp_diag_q5,character,Char,50,$50.00 ,$50.00 ,Hypertension diagnosis
hbp_diag_age,character,Char,50,$50.00 ,$50.00 ,Age at hypertension diagnosis
hbp_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for hypertension diagnosis
hbp_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for hypertension diagnosis
hrtatk_diag_q5,character,Char,50,$50.00 ,$50.00 ,Heart attack diagnosis
hrtatk_diag_age,character,Char,50,$50.00 ,$50.00 ,Age at heart attack diagnosis
hrtatk_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for heart attack diagnosis
hrtatk_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for heart attack diagnosis
stroke_diag_q5,character,Char,50,$50.00 ,$50.00 ,Stroke diagnosis
stroke_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for stroke diagnosis
stroke_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for stroke diagnosis
dvt_diag_q5,character,Char,50,$50.00 ,$50.00 ,Deep venous thrombosis diagnosis
dvt_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for deep venous thrombosis diagnosis
dvt_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for deep venous thrombosis diagnosis
copd_diag_q5,character,Char,50,$50.00 ,$50.00 ,Copd diagnosis
copd_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for copd diagnosis
copd_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for copd diagnosis
osteop_diag_q5,character,Char,50,$50.00 ,$50.00 ,Osteoporosis diagnosis
osteop_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for osteoporosis diagnosis
osteop_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for osteoporosis diagnosis
pneu_diag_q5,character,Char,50,$50.00 ,$50.00 ,Pneumonia diagnosis
pneu_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for pneumonia diagnosis
pneu_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for pneumonia diagnosis
parkins_diag_q5,character,Char,50,$50.00 ,$50.00 ,Parkinson's diagnosis
parkins_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for parkinson's diagnosis
parkins_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for parkinson's diagnosis
depres_diag_q5,character,Char,50,$50.00 ,$50.00 ,Depression diagnosis
depres_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for depression diagnosis
depres_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for depression diagnosis
shingle_diag_q5,character,Char,50,$50.00 ,$50.00 ,Shingles diagnosis
shingle_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for shingles diagnosis
shingle_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for shingles diagnosis
ulcer_diag_q5,character,Char,50,$50.00 ,$50.00 ,Ulcer diagnosis
ulcer_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for ulcer diagnosis
ulcer_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for ulcer diagnosis
kidnstn_diag_q5,character,Char,50,$50.00 ,$50.00 ,Kidney stones diagnosis
kidnstn_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for kidney stones diagnosis
kidnstn_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for kidney stones diagnosis
kidndis_diag_q5,character,Char,50,$50.00 ,$50.00 ,Kidney disease diagnosis
kidndis_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for kidney disease diagnosis
kidndis_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for kidney disease diagnosis
fatigu_diag_q5,character,Char,50,$50.00 ,$50.00 ,Chronic fatigue syndrome diagnosis
fatigu_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for chronic fatigue syndrome diagnosis
fatigu_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for chronic fatigue syndrome diagnosis
osteoa_diag_q5,character,Char,50,$50.00 ,$50.00 ,Osteoarthritis diagnosis
osteoa_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for osteoarthritis diagnosis
osteoa_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for osteoarthritis diagnosis
rheuma_diag_q5,character,Char,50,$50.00 ,$50.00 ,Rheumatoid arthritis diagnosis
rheuma_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for rheumatoid arthritis diagnosis
rheuma_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for rheumatoid arthritis diagnosis
lupus_diag_q5,character,Char,50,$50.00 ,$50.00 ,Sle/lupus diagnosis
lupus_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for sle/lupus diagnosis
lupus_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for sle/lupus diagnosis
crohns_diag_q5,character,Char,50,$50.00 ,$50.00 ,Ibd/crohns diagnosis
crohns_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for ibd/crohns diagnosis
crohns_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for ibd/crohns diagnosis
sclero_diag_q5,character,Char,50,$50.00 ,$50.00 ,Multiple sclerosis diagnosis
sclero_medever,character,Char,50,$50.00 ,$50.00 ,Ever medication for multiple sclerosis diagnosis
sclero_currmed,character,Char,50,$50.00 ,$50.00 ,Current medication for multiple sclerosis diagnosis
psoria_diag_q5,character,Char,50,$50.00 ,$50.00 ,Psoriasis diagnosis
psoria_medever_q5,character,Char,50,$50.00 ,$50.00 ,Ever medication for psoriasis diagnosis
psoria_currmed_q5,character,Char,50,$50.00 ,$50.00 ,Current medication for psoriasis diagnosis
lostheight,character,Char,50,$50.00 ,$50.00 ,Lost height as aged
lostheigh_inch,character,Char,50,$50.00 ,$50.00 ,Height inches lost as aged
gastricby,character,Char,50,$50.00 ,$50.00 ,Had gastric bypass/lap-band surgery
gastricby_type,character,Char,50,$50.00 ,$50.00 ,Type of gastric bypass/lap-band surgery
bmi_q5,numeric,Num,8,20.1,20.1,Bmi at q5
weight_q5,numeric,Num,8,11.,11.,Weight at q5
height_q5,numeric,Num,8,11.,11.,Height at q5
spffacecrm,character,Char,50,$50.00 ,$50.00 ,Use facial creams with spf
spffacecrm_yrs,character,Char,50,$50.00 ,$50.00 ,Years used facial creams with spf
spffacecrm_undr15,character,Char,50,$50.00 ,$50.00 ,Age <15 when used facial creams with spf
spffacecrm15_25,character,Char,50,$50.00 ,$50.00 ,Age 15-25 when used facial creams with spf
spffacecrm26_40,character,Char,50,$50.00 ,$50.00 ,Age 26-40 when used facial creams with spf
spffacecrm41_60,character,Char,50,$50.00 ,$50.00 ,Age 41-60 when used facial creams with spf
spffacecrm_ovr61,character,Char,50,$50.00 ,$50.00 ,Age 61 or older when used facial creams with spf
sunscrn,character,Char,50,$50.00 ,$50.00 ,Use sunscreen
sunscrn_yrs,character,Char,50,$50.00 ,$50.00 ,Years used sunscreen
sunscrn_undr15,character,Char,50,$50.00 ,$50.00 ,Age <15 when used sunscreen
sunscrn15_25,character,Char,50,$50.00 ,$50.00 ,Age 15-25 when used sunscreen
sunscrn26_40,character,Char,50,$50.00 ,$50.00 ,Age 26-40 when used sunscreen
sunscrn41_60,character,Char,50,$50.00 ,$50.00 ,Age 41-60 when used sunscreen
sunscrn_ovr61,character,Char,50,$50.00 ,$50.00 ,Age 61 or older when used sunscreen
tanbooth,character,Char,50,$50.00 ,$50.00 ,Use tanning bed/booth
tanbooth_yrs,character,Char,50,$50.00 ,$50.00 ,Years used tanning bed/booth
tanbooth_undr15,character,Char,50,$50.00 ,$50.00 ,Age <15 when used tanning bed/booth
tanbooth15_25,character,Char,50,$50.00 ,$50.00 ,Age 15-25 when used tanning bed/booth
tanbooth26_40,character,Char,50,$50.00 ,$50.00 ,Age 26-40 when used tanning bed/booth
tanbooth41_60,character,Char,50,$50.00 ,$50.00 ,Age 41-60 when used tanning bed/booth
tanbooth_ovr61,character,Char,50,$50.00 ,$50.00 ,Age 61 or older when used tanning bed/booth
currres_yrs_q5mini,character,Char,50,$50.00 ,$50.00 ,Years lived at current residence
strnex_hrs_q5mini,character,Char,50,$50.00 ,$50.00 ,Hours per week of strenuous activity during past 3 years
strnex_mo_q5mini,character,Char,50,$50.00 ,$50.00 ,Months per year of strenuous activity during past 3 years
modex_hrs_q5mini,character,Char,50,$50.00 ,$50.00 ,Hours per week of moderate activity during past 3 years
modex_mo_q5mini,character,Char,50,$50.00 ,$50.00 ,Months per year of moderate activity during past 3 years
diab_self_q5mini,character,Char,50,$50.00 ,$50.00 ,Ever told you have diabetes
diab_type_q5mini,character,Char,50,$50.00 ,$50.00 ,Type of diabetes
hormo_aft05_mini,character,Char,50,$50.00 ,$50.00 ,Use of hormones since 2005
hormo_aft05_yrs_mini,character,Char,50,$50.00 ,$50.00 ,Years of hormone use since 2005
menstrual_status_q5mini,character,Char,50,$50.00 ,$50.00 ,Current menstrual status
strenuous_hrs_per_wk_q6,numeric,Num,8,11.,11.,Strenuous exercise hrs per wk
strenuous_mos_per_yr_q6,numeric,Num,8,11.,11.,Strenuous exercise months per year
moderate_hrs_per_wk_q6,numeric,Num,8,11.,11.,Moderate exercise hrs per wk
moderate_hrs_per_yr_q6,numeric,Num,8,11.,11.,Moderate exercise months per year
osteoa_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Arthritis: Osteoarthritis
rheuma_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Arthritis: Rheumatoid arthritis
asthma_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Asthma
t2d_diag_q6,numeric,Num,8,11.,11.,"Diagnosed with Diabetes Type 2 (""Type 2 Diabetes"")"
dvt_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Deep vein thrombosis (DVT)
depres_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Depression
cholesterol_diag_q6,numeric,Num,8,11.,11.,Diagnosed with High cholesterol
dbp_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Hypertension / high blood pressure
inflammatorybowel_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Inflammatory bowel disease or Crohn's disease
kidndis_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Kidney disease (not kidney stones)
kidnstn_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Kidney stones
migraines_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Migraines
osteop_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Osteoporosis
parkins_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Parkinson's disease
periodontal_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Periodontal disease or gum disease / gingivitis
psoria_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Psoriasis
shingle_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Shingles
sleepapnea_diag_q6,numeric,Num,8,11.,11.,Diagnosed with Sleep apnea
sleep_disorder_diag_q6,numeric,Num,8,11.,11.,Diagnosed with a sleep disorder
genetic_testing_q6,numeric,Num,8,11.,11.,Ever genetic testing
menstrual_status_q6,numeric,Num,8,11.,11.,Current menstrual status
age_lmp_q6,numeric,Num,8,11.,11.,Age at last menstrual period
used_mht_q6,numeric,Num,8,11.,11.,Used prescription hormones since last questionnaire
type_mht_is_pills_q6,numeric,Num,8,11.,11.,Used prescription hormone pills
type_mht_patches_q6,numeric,Num,8,11.,11.,Used prescription hormone patches
type_mht_estrogen_cream_q6,numeric,Num,8,11.,11.,Used prescription hormone vaginal estrogen creams
type_mht_pills_q6,numeric,Num,8,11.,11.,Type of pills used
curr_mht_pills_q6,numeric,Num,8,11.,11.,Currently using pills
years_used_pills_q6,numeric,Num,8,11.,11.,Total years used pills
curr_mht_patches_q6,numeric,Num,8,11.,11.,Currently using patches
curr_mht_estrogen_cream_q6,numeric,Num,8,11.,11.,Currently using vaginal estrogen creams or gels
weight_q6,numeric,Num,8,11.,11.,Weight
height_feet_q6,numeric,Num,8,11.,11.,Height feet
height_inches_q6,numeric,Num,8,11.,11.,Height inches
snores_q6,numeric,Num,8,11.,11.,Participant snores
fatigued_day_q6,numeric,Num,8,11.,11.,Fatigued during the day
stop_breath_night_q6,numeric,Num,8,11.,11.,Stop breathing at night
difficult_fall_asleep_q6,numeric,Num,8,11.,11.,Difficulty falling asleep
severe_diff_fall_asleep_q6,numeric,Num,8,11.,11.,Difficulty falling asleep
severe_diff_stay_asleep_q6,numeric,Num,8,11.,11.,Difficulty staying asleep
wake_too_early_q6,numeric,Num,8,11.,11.,Problem waking up too early
satisfied_sleep_pattern_q6,numeric,Num,8,11.,11.,Satisfaction with sleep pattern
sleep_interfere_day_life_q6,numeric,Num,8,11.,11.,Sleep interference with daily life
noticeable_sleep_problem_q6,numeric,Num,8,11.,11.,How noticeable is sleep problem
worry_abt_sleep_problem_q6,numeric,Num,8,11.,11.,Worry about sleep problem
chronic_sleep_problem_q6,numeric,Num,8,11.,11.,Chronic sleep problem
usual_glasses_water_q6,numeric,Num,8,11.,11.,Usual intake glass of water
usual_cups_coffee_q6,numeric,Num,8,11.,11.,Usual intake cup of coffee
usual_cups_tea_q6,numeric,Num,8,11.,11.,Usual intake cup of hot tea
usual_glasses_icedtea_q6,numeric,Num,8,11.,11.,Usual intake glass of iced tea
showers_per_week_q6,numeric,Num,8,11.,11.,Average showers per week
water_source_curr_home_q6,numeric,Num,8,11.,11.,Current home drinking water source
filter_tap_h2o_curr_home_q6,numeric,Num,8,11.,11.,Current home tap water filtered
worry_retirement_money_q6,numeric,Num,8,11.,11.,Worry money for retirement
worry_serious_ill_cost_q6,numeric,Num,8,11.,11.,Worry pay serious illness medical costs
unpaid_medbills_past_yr_q6,numeric,Num,8,11.,11.,Unpaid medical bills in last 12 months
pay_medbills_over_time_q6,numeric,Num,8,11.,11.,Medical bills paid off over time
unable_pay_medical_bills_q6,numeric,Num,8,11.,11.,Unable to pay medical bills
household_income_q6,numeric,Num,8,11.,11.,Household annual income
ppl_support_house_income_q6,numeric,Num,8,11.,11.,Number supported by household income
minor_support_house_inc_q6,numeric,Num,8,11.,11.,Minors supported by household income
senior_support_house_inc_q6,numeric,Num,8,11.,11.,Individuals over 64 supported by household income
lack_companionship_q6,numeric,Num,8,11.,11.,Feel lack companionship
feel_left_out_q6,numeric,Num,8,11.,11.,Feel left out
feel_isolated_q6,numeric,Num,8,11.,11.,Feel isolated from others
marital_status_q6,numeric,Num,8,11.,11.,Marital status at 6th questionnaire
employ_school_q6,numeric,Num,8,11.,11.,"Employment status: public, charter, or private schools"
employ_other_q6,numeric,Num,8,11.,11.,Employment status: other
employ_not_currently_q6,numeric,Num,8,11.,11.,Employment status: not currently working
employ_homemaker_q6,numeric,Num,8,11.,11.,Employment status: homemaker
employ_unable_work_q6,numeric,Num,8,11.,11.,Employment status: unable to work
employ_retired_q6,numeric,Num,8,11.,11.,Employment status: retired
ever_used_med_cannabis_q6,numeric,Num,8,11.,11.,Ever used medicinal cannabis
medical_cannabis_method_q6,numeric,Num,8,11.,11.,Medicinal cannabis consumption method
cannabis_reason_anxiety_q6,numeric,Num,8,11.,11.,Reason use med cannabis: relieve anxiety
